Question_ID,Page,Question_Preview,Options,Correct_Answer
p1_q1,1,Which of the following match is incorrect?,"1, 2, 3, 4, 3, 1, 2, 3, 4, 4, 1, 2, 3, 4, 5, 1, 2, 3, 4, 6, 1, 2, 3, 4, 7, A, B, C, D, 1, 2, 3, 4, 8, 1, 2, 3, 4, 9, 1, 2, 3, 4",
p1_q2,1,Consider the following characteristics:,"A, B, C, D",
p1_q3,1,Which two points are known as the twin characteristics of growth?,"1, 2, 3, 4",
p1_q4,1,Which set of organisms multiply by fragmentation?,"1, 2, 3",
p1_q5,1,Metabolic reactions take place in,"1, 2, 3, 4",
p1_q6,1,Which of the features given below are general characteristics of life?,"A, B, C, D",
p2_q1,2,Select the incorrect pair.,"1, 2, 3, 4",
p2_q2,2,Reproduction is synonymous with growth in,"1, 2, 3, 4",
p2_q3,2,All living organisms have following defining features:,"1, 2, 3, 4",
p2_q4,2,Which of the following sets of organisms can reproduce to produce fertile offspr,"1, 2, 3, 4",
p2_q5,2,Fill in the blanks and select the option with all correct answers.,"A, B, C, D, 1, 2, 3, 4",
p2_q6,2,Select the incorrect option.,"1, 2, 3, 4",
p2_q7,2,The patients lying in coma in hospitals virtually supported by machines,"1, 2, 3, 4",
p2_q8,2,Match the entities in Column-I with their mode of reproduction in Column-II. Col,"A, I, B, C, D, V, 3, 4",
p3_q1,3,Which of the following is incorrect for reproduction?,"1, 2, 3, 4",
p3_q2,3,Mark the incorrect statement with respect to metabolism.,"1, 2, 3, 4",
p3_q3,3,Find out the incorrect statement with respect to reproduction.,"1, 2, 3, 4",
p3_q4,3,Select the incorrect statement for consciousness as one of the characteristic of,"1, 2, 3, 4",
p3_q5,3,Consider the following statements: (e) The growth exhibited by non-living object,"A, B, C, D, 1, 2, 3, 4",
p3_q6,3,"From the following statements, select those that are true for reproduction. (e) ","A, B, C, D, 1, 2, 3, 4, 1, 2, 3, 4",
p4_q1,4,Read the following statements and select correct option for all living organisms,"A, B, C, D, 1, 2, 3, 4",
p4_q2,4,"Fill in the blank. All living organisms - present, past and future, are linked t","1, 2, 3, 4",
p4_q3,4,Mayer's biological concept of species is mainly based on,"1, 2, 3, 4",
p4_q4,4,Which of the following is incorrect with respect to species?,"1, 2, 3, 4",
p4_q5,4,Select the correct statement with respect to biodiversity.,"1, 2, 3, 4",
p4_q6,4,Which of the following statements is correct?,"1, 2, 3, 4",
p4_q7,4,Select the wrong statement.,"1, 2, 3, 4, 3, 4",
p5_q1,5,"In referring to an organism in writing, such as in a newspaper, textbook or lab ","A, B, C, D, 1, 2, 3, 4",
p5_q2,5,"In trinomial nomenclature,","1, 2, 3, 4",
p5_q3,5,The third name in trinomial nomenclature in animals represents,"1, 2, 3, 4",
p5_q4,5,"When the specific epithet exactly repeats generic name, it is called","1, 2, 3, 4",
p5_q5,5,Read the statements given below and identify the incorrect statement.,"1, 2, 3, 4",
p5_q6,5,The biological concept of species was given by,"1, 2, 3, 4",
p5_q7,5,ICBN is,"1, 2, 3, 4",
p5_q8,5,Scientific names of plants are based on principles and criteria agreed by and ar,"1, 2, 3, 4",
p5_q9,5,"Identify the generic name from the given scientific names. Panthera leo, Canis f","1, 2, 3, 4",
p5_q10,5,"According to binomial nomenclature, every living organism has",1,
p6_q1,6,Which one of the following statements given below is not included in universal r,"1, 2, 3, 4",
p6_q2,6,Select the mismatched pair.,"1, 2, 3, 4",
p6_q3,6,A taxon is a,"1, 2, 3, 4",
p6_q4,6,Identify the correct sequence of taxonomic categories.,"1, 2, 3, 4",
p6_q5,6,Two species which are morphologically almost identical but they do not interbree,"1, 2, 3, 4",
p6_q6,6,The practical purpose of classification of living organisms is to,"1, 2, 3, 4",
p6_q7,6,"When organism is in same division but is not in same order, the taxonomic term i","1, 2, 3, 4",
p6_q8,6,Which of the following taxa covers a least number of organisms?,"1, 2, 3, 4",
p6_q9,6,Linnaean system of classification was based on,"1, 2, 3, 4",
p6_q10,6,Scientific study of diversity of organisms and their evolutionary relationships ,"1, 2, 3, 4",
p6_q11,6,Which of the following are not the processes that are basic to taxonomy?,"1, 2, 3, 4",
p6_q12,6,Which one of the following has least similar characteristics?,"1, 2, 3, 4",
p6_q13,6,Which one of the following is an odd category?,"1, 2, 3, 4, 1, 2, 3, 4",
p7_q1,7,The basic unit of taxonomy/biological classification is,"1, 2, 3, 4",
p7_q2,7,"When organism is in the same class but is not in the same family, the taxonomic ","1, 2, 3, 4",
p7_q3,7,Which of the following taxa covers a greater number of organisms?,"1, 2, 3, 4",
p7_q4,7,"Animals are classified into hierarchical groups. In which one of the following, ","1, 2, 3, 4",
p7_q5,7,Class is the category of taxonomy which includes related,"1, 2, 3, 4",
p7_q6,7,"In taxonomic hierarchy, which of the following group of taxa will have less numb","1, 2, 3, 4",
p7_q7,7,Match Column-I with Column-II and select the correct option. Column-I Column-II,"A, I, B, C, D, 1, 2, 3, 4",
p7_q8,7,Fill in the blanks (a) and (b) using the correct option. Kingdom → Phylum → (a) ,"1, 2, 3, 4",
p7_q9,7,Taxonomy deals with,"1, 2, 3, 4",
p7_q10,7,Which of the following suffix is used for category order?,"1, 2, 3, 4",
